Aantal franjes waargenomen (#);Verschuiving x-as (m)
30;0.00002
35;0.00002
40;0.000026
30;0.000022
43;0.000024
38;0.000024
20;0.000014
24;0.000016
64;0.00004
100;0.00006
8;0.000004
10;0.000008
20;0.00001
20;0.000012
25;0.000014
10;0.000004
10;0.000003
30;0.000022
53;0.000028
20;0.00001
13;0.000006
50;0.000028
70;0.000035
80;0.000045
90;0.000055
14;0.00001
33;0.00002
51;0.00003
69;0.00004
91;0.00005
106;0.00006
130;0.00007
46;0.000018
17;0.00001
25;0.00001
36;0.000021
32;0.000017
43;0.000029
37;0.000023
34;0.000024
24;0.00001
44;0.00002
48;0.00002
32;0.00001
63;0.00003
90;0.000058
60;0.00003
75;0.000052
85;0.00006
10;0.000006
15;0.000008
20;0.000014
25;0.00002
30;0.000024
35;0.000027
40;0.00003
45;0.000032
11;0.000005
22;0.000009
33;0.000015
44;0.000024
55;0.00003
66;0.000035
77;0.000048
88;0.000052
99;0.000058
110;0.000065
20;0.00001
44;0.00002
56;0.00003
80;0.00004
20;0.000007
20;0.000006
20;0.000005
20;0.000008
32;0.000022
60;0.000038
60;0.000034
60;0.000034
45;0.00002
